# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
proc,module,kind,sp_offset,type,name
heroWindowManager::FadeFromBlack,winmgr.obj,param,fp+0xd8,0x1011,this
heroWindowManager::FadeFromBlack,winmgr.obj,param,fp+0xdc,T_INT4(0074),speed
heroWindowManager::FadeFromBlack,winmgr.obj,local,sp+0x44,0x103A,bmpFadeSource
heroWindowManager::FadeFromBlack,winmgr.obj,local,sp+0x30,0x1080,blue_mask_2
heroWindowManager::FadeFromBlack,winmgr.obj,local,sp+0x3c,0x1080,red_mask_2
heroWindowManager::FadeFromBlack,winmgr.obj,local,sp+0x34,0x1080,green_mask_2
heroWindowManager::FadeFromBlack,winmgr.obj,local,sp+0x24,T_32PUINT4(0475),dst
heroWindowManager::FadeFromBlack,winmgr.obj,local,sp+0x28,T_INT4(0074),y
heroWindowManager::FadeFromBlack,winmgr.obj,local,sp+0x2c,0x1082,src
heroWindowManager::FadeFromBlack,winmgr.obj,local,sp+0x38,T_ULONG(0022),time1
heroWindowManager::FadeFromBlack,winmgr.obj,local,sp+0x40,T_ULONG(0022),next_fade_time
Bitmap816::GetPalette,winmgr.obj,param,sp+0x0,0x1086,this
Bitmap816::GetMap,winmgr.obj,param,sp+0x0,0x1086,this
Bitmap816::GetMap,winmgr.obj,param,sp+0x4,T_INT4(0074),x
Bitmap816::GetMap,winmgr.obj,param,sp+0x8,T_INT4(0074),y
SetPlayerPaletteColors,wingraph.obj,param,sp+0x14,T_32PUSHORT(0421),pPalette
SetPlayerPaletteColors,wingraph.obj,param,sp+0x18,T_INT4(0074),whichPlayer
SetPlayerPaletteColors,wingraph.obj,param,sp+0x14,0x108C,pal
SetPlayerPaletteColors,wingraph.obj,param,sp+0x18,T_INT4(0074),whichPlayer
DDInitGraphics,wingraph.obj,param,sp+0x28,T_INT4(0074),Mode
DDInitGraphics,wingraph.obj,param,sp+0x2c,T_UCHAR(0020),reinit
DDInitGraphics,wingraph.obj,local,sp+0x18,0x1091,pddTemp
RobAppBlit,wingraph.obj,param,fp+0xa4,0x1092,comb_rect
RobAppBlit,wingraph.obj,local,sp+0x50,0x1071,ddsd
RobAppBlit,wingraph.obj,local,sp+0x40,0x1015,menuregion
RobAppBlit,wingraph.obj,local,sp+0x20,0x1015,region
RobAppBlit,wingraph.obj,local,sp+0x30,0x1015,rcDest
RobAppBlit,wingraph.obj,local,sp+0x18,0x109A,window_origin
