# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
seg,offset,name
3,0xa270,??_C@_04DKC@dwrf?$AA@
3,0xa1f8,??_C@_04DLEO@cava?$AA@
3,0xa968,??_C@_04KPMC@fdfl?$AA@
1,0xc2650,?construct@std@@YAXPAVhero@@ABV2@@Z
3,0xa888,??_C@_04BOEM@ccyc?$AA@
1,0xb9e7c,?SetMapRumour@game@@AAAXXZ
3,0x1442c,??_C@_1BI@HCPP@?$AAM?$AAa?$AAi?$AAn?$AA?5?$AAG?$AAa?$AAm?$AAe?$AA?5?$AAY?$AA?$AA@
1,0x38530,??1type_school_artifact@@UAA@XZ
1,0x1c750,?ForceNewHover@advManager@@QAAXXZ
2,0xd08,??_7Bitmap8Bit@@6B@
1,0xdbaa4,_inflateSyncPoint@4
3,0x2e274,?gpSearchArray@@3PAVsearchArray@@A
3,0xa3c4,??_C@_04LLEB@iglm?$AA@
3,0xaa30,??_C@_04LPDB@welm?$AA@
1,0x9e114,?__adjust_heap@std@@YAXPAW4SpellID@@HHW42@Vspell_level_order@@@Z
3,0x50,__imp___muld
1,0x164a0c,?distance_type@std@@YAPAHPBQAV?$vector@PADV?$allocator@PAD@std@@@1@@Z
1,0xbeca8,??1?$_Vector_base@UTBlackMarket@@V?$allocator@UTBlackMarket@@@std@@@std@@QAA@XZ
1,0x3b27c,?__partial_sort@std@@YAXPAUtype_creature_value@@000@Z
3,0xa630,??_C@_04KDFD@lich?$AA@
1,0xbdf08,??1?$vector@Vtown@@V?$allocator@Vtown@@@std@@@std@@QAA@XZ
1,0x164254,?erase@?$vector@PAV?$vector@PADV?$allocator@PAD@std@@@std@@V?$allocator@PAV?$vector@PADV?$allocator@PAD@std@@@std@@@2@@std@@QAAPAPAV?$vector@PADV?$allocator@PAD@std@@@2@PAPAV32@0@Z
3,0xa838,??_C@_04JIBH@ogre?$AA@
3,0xa39c,??_C@_04MNDJ@ogrg?$AA@
1,0x1fb1c,?is_on_map@type_obscuring_object@@QBA_NXZ
1,0x50a28,??0baseManager@@QAA@XZ
1,0xa246c,?LineLength@font@@QBAHPBDH@Z
3,0x1e7b4,??_C@_08LAJO@TBSthrd4?$AA@
1,0x2f68,??0TCheatCode@@QAA@PBD@Z
1,0x508e0,?get@TAutoStrPtr@?%E:\gamedcs\artifact.cpp2645527351@@QBAPADXZ
3,0xaa6c,??_C@_04BGBL@cata?$AA@
1,0xbdd34,??0?$vector@UTownExtra@@V?$allocator@UTownExtra@@@std@@@std@@QAA@ABV?$allocator@UTownExtra@@@1@@Z
