# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
name,size,members,statics,bases
std::_STL_alloc_proxy<type_creature_bank,4,1,0,std::allocator<type_creature_bank>
std::_STL_alloc_proxy<type_creature_source,4,1,0,std::allocator<type_creature_source>
std::_STL_alloc_proxy<type_creature_value,4,1,0,std::allocator<type_creature_value>
std::_STL_alloc_proxy<type_event_record,4,1,0,std::allocator<type_event_record
std::_STL_alloc_proxy<type_monster_data,4,1,0,std::allocator<type_monster_data>
std::_STL_alloc_proxy<type_point,4,1,0,std::allocator<type_point>
std::_STL_alloc_proxy<type_university,4,1,0,std::allocator<type_university>
std::_STL_alloc_proxy<unsigned,4,1,0,std::allocator<unsigned
std::_STL_alloc_proxy<widget,4,1,0,std::allocator<widget
std::_Sanitize<unsigned,1,0,0,
"std::_String_base<char,std::allocator<char>",12,3,0,
std::_String_base<unsigned,12,3,0,
std::_String_reserve_t,1,0,0,
"std::_Vector_base<BlackBoxData,std::allocator<BlackBoxData>",12,3,0,
"std::_Vector_base<CObject,std::allocator<CObject>",12,3,0,
"std::_Vector_base<CObjectType,std::allocator<CObjectType>",12,3,0,
std::_Vector_base<CSprite,12,3,0,
"std::_Vector_base<LODEntry,std::allocator<LODEntry>",12,3,0,
"std::_Vector_base<MonsterData,std::allocator<MonsterData>",12,3,0,
"std::_Vector_base<NewmapCell::TObjectCell,std::allocator<NewmapCell::TObjectCell>",12,3,0,
"std::_Vector_base<SecondarySkillData,std::allocator<SecondarySkillData>",12,3,0,
"std::_Vector_base<Sign,std::allocator<Sign>",12,3,0,
"std::_Vector_base<TBlackMarket,std::allocator<TBlackMarket>",12,3,0,
"std::_Vector_base<TSeerHut,std::allocator<TSeerHut>",12,3,0,
"std::_Vector_base<TTimedEvent,std::allocator<TTimedEvent>",12,3,0,
"std::_Vector_base<TTownEvent,std::allocator<TTownEvent>",12,3,0,
"std::_Vector_base<TownExtra,std::allocator<TownExtra>",12,3,0,
"std::_Vector_base<TreasureData,std::allocator<TreasureData>",12,3,0,
std::_Vector_base<army,12,3,0,
"std::_Vector_base<boat,std::allocator<boat>",12,3,0,
std::_Vector_base<char,12,3,0,
"std::_Vector_base<combatManager::TObstacle,std::allocator<combatManager::TObstacle>",12,3,0,
std::_Vector_base<enum,12,3,0,
"std::_Vector_base<game::TRumour,std::allocator<game::TRumour>",12,3,0,
"std::_Vector_base<garrison,std::allocator<garrison>",12,3,0,
"std::_Vector_base<generator,std::allocator<generator>",12,3,0,
"std::_Vector_base<int,std::allocator<int>",12,3,0,
"std::_Vector_base<long,std::allocator<long>",12,3,0,
"std::_Vector_base<mine,std::allocator<mine>",12,3,0,
std::_Vector_base<pathCell,12,3,0,
"std::_Vector_base<pathCell,std::allocator<pathCell>",12,3,0,
std::_Vector_base<resource,12,3,0,
std::_Vector_base<std::vector<char,12,3,0,
"std::_Vector_base<town,std::allocator<town>",12,3,0,
"std::_Vector_base<type_creature_bank,std::allocator<type_creature_bank>",12,3,0,
"std::_Vector_base<type_creature_source,std::allocator<type_creature_source>",12,3,0,
"std::_Vector_base<type_creature_value,std::allocator<type_creature_value>",12,3,0,
std::_Vector_base<type_event_record,12,3,0,
"std::_Vector_base<type_monster_data,std::allocator<type_monster_data>",12,3,0,
"std::_Vector_base<type_point,std::allocator<type_point>",12,3,0,
"std::_Vector_base<type_university,std::allocator<type_university>",12,3,0,
std::_Vector_base<widget,12,3,0,
std::__Named_exception,260,1,0,std::_exception
"std::__char_traits_base<char,int>",1,0,0,
std::__char_traits_base<unsigned,1,0,0,
std::__new_alloc,1,0,0,
"std::__node_alloc<0,0>",1,0,4,
std::_exception,4,0,0,
std::allocator<BlackBoxData>,1,0,0,
std::allocator<CNetMsg,1,0,0,
std::allocator<CObject>,1,0,0,
std::allocator<CObjectType>,1,0,0,
std::allocator<CSprite,1,0,0,
std::allocator<LODEntry>,1,0,0,
std::allocator<MonsterData>,1,0,0,
std::allocator<NewmapCell::TObjectCell>,1,0,0,
std::allocator<SecondarySkillData>,1,0,0,
std::allocator<Sign>,1,0,0,
std::allocator<TBlackMarket>,1,0,0,
std::allocator<TSeerHut>,1,0,0,
std::allocator<TTimedEvent>,1,0,0,
std::allocator<TTownEvent>,1,0,0,
std::allocator<TownExtra>,1,0,0,
std::allocator<TreasureData>,1,0,0,
std::allocator<army,1,0,0,
std::allocator<boat>,1,0,0,
std::allocator<bool>,1,0,0,
std::allocator<char,1,0,0,
std::allocator<char>,1,0,0,
std::allocator<combatManager::TObstacle>,1,0,0,
std::allocator<enum,1,0,0,
std::allocator<game::TRumour>,1,0,0,
std::allocator<garrison>,1,0,0,
std::allocator<generator>,1,0,0,
std::allocator<int>,1,0,0,
std::allocator<long>,1,0,0,
std::allocator<mine>,1,0,0,
std::allocator<pathCell,1,0,0,
std::allocator<pathCell>,1,0,0,
std::allocator<resource,1,0,0,
std::allocator<std::vector<char,1,0,0,
std::allocator<town>,1,0,0,
std::allocator<type_creature_bank>,1,0,0,
std::allocator<type_creature_source>,1,0,0,
std::allocator<type_creature_value>,1,0,0,
std::allocator<type_event_record,1,0,0,
std::allocator<type_monster_data>,1,0,0,
std::allocator<type_point>,1,0,0,
std::allocator<type_university>,1,0,0,
std::allocator<unsigned,1,0,0,
std::allocator<widget,1,0,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char>",12,0,1,"std::_String_base<char,std::allocator<char>"
