# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
offset,cb,kind,name,module,file,line,debug_start,debug_end,params,locals
0x197324,142,global,heroWindow::AddWidget,window.obj,E:\gamedcs\window.cpp,214,18,128,3,0
0x1973b4,118,global,heroWindow::RemoveWidget,window.obj,E:\gamedcs\window.cpp,284,12,108,2,0
0x19742c,84,global,heroWindow::RemoveAndDeleteWidget,window.obj,E:\gamedcs\window.cpp,346,14,38,2,0
0x197480,176,global,heroWindow::BroadcastMessage,window.obj,E:\gamedcs\window.cpp,381,12,164,2,0
0x197530,64,global,heroWindow::BroadcastMessage,window.obj,E:\gamedcs\window.cpp,448,24,48,5,1
0x197570,26,global,heroWindow::WidgetSetStatus,window.obj,E:\gamedcs\window.cpp,466,10,18,3,0
0x19758c,26,global,heroWindow::WidgetClearStatus,window.obj,E:\gamedcs\window.cpp,477,10,18,3,0
0x1975a8,48,global,heroWindow::GetWidget,window.obj,E:\gamedcs\window.cpp,489,0,24,2,0
0x1975d8,184,global,heroWindow::DrawWindow,window.obj,E:\gamedcs\window.cpp,516,22,168,4,1
0x197690,220,global,heroWindow::DrawWindowX,window.obj,E:\gamedcs\window.cpp,571,20,204,4,3
0x19776c,112,global,heroWindow::SaveBackground,window.obj,E:\gamedcs\window.cpp,635,8,104,1,0
0x1977dc,152,global,heroWindow::RestoreBackground,window.obj,E:\gamedcs\window.cpp,664,12,92,2,0
0x197874,262,global,heroWindow::MoveWindow,window.obj,E:\gamedcs\window.cpp,707,18,244,3,3
0x19797c,338,global,heroWindow::CenterWindow,window.obj,E:\gamedcs\window.cpp,778,22,320,3,4
0x197ad0,28,global,heroWindow::findWidget,window.obj,E:\gamedcs\window.cpp,855,4,20,3,0
0x197aec,240,global,heroWindow::findWidgetPtr,window.obj,E:\gamedcs\window.cpp,865,22,222,3,1
0x197bdc,42,global,heroWindow::EnableAllWidgets,window.obj,E:\gamedcs\window.cpp,893,10,32,2,0
0x197c08,26,global,heroWindow::DoModal,window.obj,E:\gamedcs\window.cpp,904,8,18,2,0
0x197c24,80,global,heroWindow::SetFocus,window.obj,E:\gamedcs\window.cpp,909,12,70,2,0
0x197c74,24,global,heroWindow::HeroWindowHandler,window.obj,E:\gamedcs\window.cpp,934,6,16,1,0
0x197c8c,72,global,heroWindow::delete_widgets,window.obj,E:\gamedcs\window.cpp,942,10,62,1,0
0x197cd4,114,global,heroWindow::AddWidgetsToMessageStream,window.obj,E:\gamedcs\window.cpp,949,10,104,1,0
0x197d48,84,global,CHeroWindowEx::CHeroWindowEx,window.obj,E:\gamedcs\window.cpp,966,16,60,6,0
0x197d9c,186,global,CHeroWindowEx::ProcessHover,window.obj,E:\gamedcs\window.cpp,972,18,172,3,0
0x197e58,90,global,CHeroWindowEx::ProcessRightSelect,window.obj,E:\gamedcs\window.cpp,1016,6,82,2,0
0x197eb4,146,global,CHeroWindowEx::WindowHandler,window.obj,E:\gamedcs\window.cpp,1036,10,138,2,1
0x197f48,4,global,CHeroWindowEx::OnWidgetDeselect,window.obj,E:\gamedcs\window.cpp,1122,0,0,3,0
0x197f4c,4,global,CHeroWindowEx::GetRolloverWidget,window.obj,E:\gamedcs\window.cpp,1128,0,0,1,0
0x197f50,136,global,CHeroWindowEx::SetHelpText,window.obj,E:\gamedcs\window.cpp,1133,28,76,5,0
0x197fd8,344,global,InitializeWinSetupText,window.obj,E:\gamedcs\window.cpp,1201,12,330,0,0
0x198130,124,global,SetWinText,window.obj,E:\gamedcs\window.cpp,1283,16,88,2,1
0x1981ac,52,global,heroWindow::`scalar deleting destructor',window.obj,E:\gamedcs\window.cpp,68,12,32,2,0
0x1981e0,52,global,CHeroWindowEx::`scalar deleting destructor',window.obj,E:\gamedcs\window.cpp,969,12,32,2,0
0x198214,56,global,"std::vector<widget *,std::allocator<widget *> >::rbegin",window.obj,..\stlport\stl_vector.h,188,8,36,2,0
0x19824c,56,global,"std::vector<widget *,std::allocator<widget *> >::rend",window.obj,..\stlport\stl_vector.h,192,8,36,2,0
0x198284,56,global,"std::vector<widget *,std::allocator<widget *> >::clear",window.obj,..\stlport\stl_vector.h,506,10,34,1,0
0x1982bc,32,global,"std::reverse_iterator<widget * const *,widget *,widget * const &,widget * const *,int>::reverse_iterator<widget * const *,widget *,widget * const &,widget * const *,int>",window.obj,..\stlport\stl_iterator.h,325,8,18,2,0
0x1982dc,6,global,"std::reverse_iterator<widget * const *,widget *,widget * const &,widget * const *,int>::operator*",window.obj,..\stlport\stl_iterator.h,330,0,2,1,0
0x1982e4,56,global,"std::reverse_iterator<widget * const *,widget *,widget * const &,widget * const *,int>::operator++",window.obj,..\stlport\stl_iterator.h,340,12,42,3,1
0x19831c,4,global,"std::vector<widget *,std::allocator<widget *> >::begin",window.obj,..\stlport\stl_vector.h,180,0,0,1,0
0x198320,4,global,"std::vector<widget *,std::allocator<widget *> >::end",window.obj,..\stlport\stl_vector.h,182,0,0,1,0
0x198324,60,global,"std::vector<widget *,std::allocator<widget *> >::erase",window.obj,..\stlport\stl_vector.h,490,14,38,3,0
0x198360,6,global,"std::reverse_iterator<widget * const *,widget *,widget * const &,widget * const *,int>::reverse_iterator<widget * const *,widget *,widget * const &,widget * const *,int>",window.obj,..\stlport\stl_iterator.h,326,0,2,2,0
0x198368,4,global,"std::reverse_iterator<widget * const *,widget *,widget * const &,widget * const *,int>::base",window.obj,..\stlport\stl_iterator.h,329,0,0,1,0
0x19836c,28,global,std::operator!=,window.obj,..\stlport\stl_iterator.h,428,4,14,2,0
0x198388,80,global,std::copy,window.obj,..\stlport\stl_algobase.h,322,20,52,3,0
0x1983d8,44,global,std::operator==,window.obj,..\stlport\stl_iterator.h,405,10,28,2,0
0x198404,12,global,std::iterator_category,window.obj,..\stlport\stl_iterator_base.h,243,2,8,2,0
0x198410,4,global,std::distance_type,window.obj,..\stlport\stl_iterator_base.h,291,0,0,1,0
0x198414,30,global,std::__copy,window.obj,..\stlport\stl_algobase.h,209,2,26,5,0
0x196b4c,136,global,widget::widget,widget.obj,E:\gamedcs\widget.cpp,43,24,122,7,0
0x196bd4,58,global,widget::widget,widget.obj,E:\gamedcs\widget.cpp,106,0,54,1,0
0x196c10,90,global,widget::~widget,widget.obj,E:\gamedcs\widget.cpp,127,8,82,1,0
0x196c6c,80,global,widget::initialize,widget.obj,E:\gamedcs\widget.cpp,152,18,72,7,0
0x196cbc,14,global,widget::Open,widget.obj,E:\gamedcs\widget.cpp,214,0,10,3,0
0x196ccc,4,global,widget::Close,widget.obj,E:\gamedcs\widget.cpp,235,0,0,0,0
0x196cd0,696,global,widget::Main,widget.obj,E:\gamedcs\widget.cpp,249,10,686,2,0
0x196f88,64,global,widget::send_message,widget.obj,E:\gamedcs\widget.cpp,477,16,52,3,1
0x196fc8,52,global,widget::Dim,widget.obj,E:\gamedcs\widget.cpp,494,8,44,1,0
0x196ffc,170,global,widget::set_help_text,widget.obj,E:\gamedcs\widget.cpp,511,20,156,4,0
0x1970a8,24,global,widget::process_hover,widget.obj,E:\gamedcs\widget.cpp,555,6,16,1,0
0x1970c0,68,global,widget::enable,widget.obj,E:\gamedcs\widget.cpp,560,4,24,2,0
0x197104,52,global,widget::`scalar deleting destructor',widget.obj,E:\gamedcs\widget.cpp,94,12,32,2,0
0x192c88,40,static,$E435,viewwrld.obj,E:\gamedcs\terrain.h,70,4,32,0,0
0x192cb0,16,static,$E436,viewwrld.obj,E:\gamedcs\terrain.h,70,4,8,0,0
0x192cc0,40,static,$E438,viewwrld.obj,E:\gamedcs\terrain.h,71,4,32,0,0
0x192ce8,16,static,$E439,viewwrld.obj,E:\gamedcs\terrain.h,71,4,8,0,0
0x192cf8,40,static,$E441,viewwrld.obj,E:\gamedcs\terrain.h,72,4,32,0,0
0x192d20,16,static,$E442,viewwrld.obj,E:\gamedcs\terrain.h,72,4,8,0,0
0x192d30,40,static,$E444,viewwrld.obj,E:\gamedcs\terrain.h,73,4,32,0,0
