# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
class,offset,type,name
CHotSeatDlg,112,0x4497,gHotSeatHelp
CHotSeatMan,0,T_INT4(0074),playerCount
CHotSeatMan,4,0x3DA0,names
CHourGlass,0,T_UCHAR(0020),m_thread
CLevelPickWaitDlg,112,T_INT4(0074),m_fromWho
CLevelPickWaitDlg,116,CNetMsgHandlerPause,m_netMsgHandler
CLevelPickWaitDlg,132,T_UCHAR(0020),m_playerDropped
CLogFile,0,0x2456,m_logFileName
CMCBuildBoat,20,type_point,m_point
CMCBuildBoat,24,T_INT4(0074),m_playerPos
CMCClaimGarrison,20,T_INT4(0074),m_garrisonId
CMCClaimGarrison,24,T_INT4(0074),m_playerPos
CMCClaimGenerator,20,T_INT4(0074),m_generatorId
CMCClaimGenerator,24,T_INT4(0074),m_playerPos
CMCClaimMine,20,T_CHAR(0010),m_mineId
CMCClaimMine,24,T_INT4(0074),m_playerPos
CMCClaimShipYard,20,type_point,m_point
CMCClaimShipYard,24,T_INT4(0074),m_playerPos
CMCClaimTown,20,T_CHAR(0010),m_townId
CMCClaimTown,24,T_INT4(0074),m_playerPos
CMCDeadHero,20,T_CHAR(0010),m_heroId
CMCDeadHero,22,type_point,m_point
CMCDeadPlayer,20,T_INT4(0074),m_playerPos
CMCEraseObject,20,type_point,m_point
CMCHideHero,20,T_INT4(0074),m_heroId
CMCMoveHero,20,T_CHAR(0010),m_heroId
CMCMoveHero,21,T_CHAR(0010),m_dir
CMCMoveHero,22,T_CHAR(0010),m_standEnd
CMCMoveHero,24,type_point,m_point
CMCRecruitHero,20,T_CHAR(0010),m_heroId
CMCRecruitHero,22,type_point,m_point
CMCRecruitHero,28,T_INT4(0074),m_playerPos
CMCTeleportHero,20,T_CHAR(0010),m_heroId
CMCTeleportHero,22,type_point,m_point
CMPInputDlg,76,0x4481,field1
CMPInputDlg,80,0x4481,field2
CMPInputDlg,84,0x1744,header1
CMPInputDlg,88,0x1744,header2
CMPInputDlg,92,0x1744,rollover
CMapChangeMsg,20,0x3DBB,m_mapChange
CMapFileNameMsg,20,T_INT4(0074),m_nbr
CMapFileNameMsg,24,0x25E8,m_mapFileName
CMapFileNameMsg,88,0x25E9,m_townType
CMapFileNameMsg,120,_FILETIME,m_fileTime
CMapHeaderData,0,T_INT4(0074),iVersion
CMapHeaderData,4,T_UCHAR(0020),IsPlayable
CMapHeaderData,5,T_UCHAR(0020),iDifficulty
CMapHeaderData,6,T_UCHAR(0020),numPlayers
CMapHeaderData,7,T_UCHAR(0020),minNumHumanPlayers
