# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
seg,offset,scope,type,name,module
3,0x122b8,static,T_INT4(0074),lastIMHoverID,hiscore.obj
3,0x11f70,static,T_INT4(0074),lastIMHoverID,hillfortwindow.obj
3,0x2e3c4,global,0x4D3C,gpCombatManager,hexcell.obj
3,0x2dd60,static,0x4D64,aNameAutoStrs,herodefs.obj
3,0x2dd1c,static,0x4D65,aNameAutoStrs,herodefs.obj
3,0x2dbc8,static,0x4D69,aDescAutoStrs,herodefs.obj
3,0x2e124,static,0x4D6A,aNameAutoStrs,herodefs.obj
3,0xdd40,static,0x3520,schools,hero.obj
2,0x323c,static,0x1F10,luck_bonus,hero.obj
2,0x324c,static,0x1F10,leadership_bonus,hero.obj
2,0x325c,static,0x4D8C,SSNecromancyFactor,hero.obj
2,0x326c,static,0x1F10,mysticism_bonus,hero.obj
2,0x327c,static,0x1F10,SSScoutingRange,hero.obj
2,0x328c,static,0x4D8C,SSArcheryMod,hero.obj
2,0x329c,static,0x4D8C,offense_factor,hero.obj
2,0x32ac,static,0x4D8C,defense_factor,hero.obj
2,0x32bc,static,0x1F10,estates_bonus,hero.obj
2,0x32cc,static,0x4D8C,SSEagleEyeChance,hero.obj
2,0x32dc,static,0x4D8C,SSDiplomacyFactor,hero.obj
2,0x32ec,static,0x4D8C,resistance_factor,hero.obj
2,0x32fc,static,0x4D8C,learning_factor,hero.obj
2,0x330c,static,0x4D8C,logistics_factor,hero.obj
2,0x331c,static,0x4D8C,sorcery_factor,hero.obj
2,0x332c,static,0x4D8C,intelligence_factor,hero.obj
2,0x333c,static,0x4D8C,firstaid_factor,hero.obj
2,0x334c,static,0x293D,spell_bonus,hero.obj
2,0x3368,static,0x293D,slayer_bonus,hero.obj
3,0xf30,global,T_NOTYPE(0000),`string',gzio.obj
3,0x724c,global,T_NOTYPE(0000),`string',gzio.obj
3,0xd310,global,T_NOTYPE(0000),`string',gzio.obj
3,0xd318,global,T_NOTYPE(0000),`string',gzio.obj
3,0xd304,global,T_UCHAR(0020),Buffermode,gzio.obj
3,0x1fc9c,global,0x100D,z_errmsg,gzio.obj
3,0x2dae4,global,T_INT4(0074),errno,gzio.obj
3,0xd308,static,0x3EE3,gz_magic,gzio.obj
2,0x303c,global,T_NOTYPE(0000),TGenericResource::`vftable',genericresource.obj
3,0xc9f8,static,T_INT4(0074),lastIMHoverID,gametypewindow.obj
3,0xb93c,static,0x4DBD,handicap,game.obj
3,0xb920,static,0x1AA9,mine_production,game.obj
3,0xb954,static,0x4E18,level_weight,game.obj
3,0xb96c,static,0x1BF8,tutorial_resources,game.obj
2,0x2ffc,static,0x4E2E,resources,game.obj
2,0x300c,static,0x4E35,giMonType,game.obj
3,0xf30,global,T_NOTYPE(0000),`string',font.obj
2,0x2fc8,global,T_NOTYPE(0000),font::`vftable',font.obj
3,0x2e270,global,0x4A9C,gpWindowManager,fly.obj
3,0x38234,global,0x187D,heroWindowManager::NullLimits,fly.obj
3,0x2e3b8,global,0x51CA,gpSoundManager,fly.obj
