# every stored comment (HD-pressing addresses); kind r=repeatable, n=normal.
hd_va,kind,text
0x403870,n,subtype
0x403872,n,command
0x403877,n,this
0x403890,n,this
0x403896,n,w
0x4038a1,n,h
0x4038a3,n,y
0x4038a4,n,x
0x4038c9,n,this
0x403908,n,extra
0x40390a,n,itemID
0x40390b,n,subtype
0x40390d,n,command
0x403912,n,this
0x403931,n,this
0x403933,n,extra
0x403935,n,command
0x403976,n,this
0x40397d,n,extra
0x40397f,n,command
0x403986,n,this
0x4039ba,n,this
0x4039da,n,this
0x403b49,n,this
0x403b4c,n,a3
0x403b7e,n,w
0x403b7f,n,h
0x403b84,n,this
0x403b8a,n,y
0x403b8b,n,x
0x403bb2,n,this
0x403bc5,n,extra
0x403bd2,n,itemID
0x403bd4,n,subtype
0x403bd5,n,command
0x403bda,n,this
0x403bf9,n,this
0x403c1a,n,extra
0x403c27,n,itemID
0x403c29,n,subtype
0x403c2a,n,command
0x403c2f,n,this
0x403c5d,n,extra
0x403c5e,n,itemID
0x403c60,n,subtype
0x403c62,n,command
0x403c67,n,this
0x403c6e,n,this
0x403c79,n,extra
0x403c7a,n,itemID
0x403c7c,n,subtype
0x403c7e,n,command
0x403c83,n,this
0x403c8a,n,extra
0x403c8c,n,itemID
0x403c8e,n,subtype
0x403c90,n,command
0x403c95,n,this
0x403c9c,n,int
0x403ca1,n,int
0x403ca3,n,this
0x403ce8,n,extra
0x403ce9,n,itemID
0x403ceb,n,subtype
0x403ced,n,command
0x403cf7,n,this
0x403d02,n,extra
0x403d03,n,itemID
0x403d05,n,subtype
0x403d07,n,command
0x403d0c,n,this
0x403d13,n,extra
0x403d15,n,itemID
0x403d17,n,subtype
0x403d19,n,command
0x403d1e,n,this
0x403d25,n,int
0x403d2a,n,int
0x403d2c,n,this
0x403d33,n,a3
0x403d35,n,this
0x403db9,n,allocation_size
0x403e07,n,ptr
0x403f00,n,inMap
0x403f0d,n,draw
0x403f10,n,this
0x403f13,n,update
0x403f14,n,draw
0x403f47,n,w
0x403f48,n,h
0x403f4d,n,y
0x403f4e,n,x
0x403f4f,n,this
0x403f67,n,this
0x403f79,n,a3
0x403f7b,n,this
0x403f87,n,whichPlayer
0x403f88,n,this
0x403f95,n,a3
0x403f97,n,this
0x403fa3,n,whichPlayer
0x403fa4,n,this
0x403fb1,n,a3
0x403fb3,n,this
0x403fbf,n,whichPlayer
0x403fc0,n,this
0x403fcc,n,a3
0x403fce,n,this
0x403fda,n,whichPlayer
0x403fdb,n,this
0x403fe8,n,a3
0x403fea,n,this
0x403ff6,n,whichPlayer
0x403ff7,n,this
0x404004,n,a3
0x404006,n,this
0x404012,n,whichPlayer
0x404013,n,this
0x40401f,n,a3
0x404021,n,this
0x40402d,n,whichPlayer
0x40402e,n,this
0x40403b,n,a3
0x40403d,n,this
0x404049,n,whichPlayer
0x40404a,n,this
0x404057,n,a3
0x404059,n,this
0x404065,n,whichPlayer
0x404066,n,this
0x404072,n,a3
0x404074,n,this
0x404080,n,whichPlayer
0x404081,n,this
0x4040ba,n,arg
0x40410e,n,ptr
0x404158,n,ptr
0x4041c6,n,destroy
0x4041c8,n,this
0x4041e3,n,destroy
0x4041e5,n,this
0x4041ec,n,a2
0x4041ed,n,this
0x404287,n,allocation_size
0x4042fe,n,ptr
0x404470,n,Trim
0x40447c,n,this
0x40447f,n,N
0x4044b9,n,char **
0x4044ba,n,this
0x4044cc,n,destroy
0x4044cd,n,this
0x4044e4,n,sublen
0x4044e5,n,subpos
0x4044e6,n,str
0x4044e7,n,this
0x4044f2,n,pThrowInfo
0x4044f7,n,pExceptionObject
0x404531,n,other
0x404579,n,this
0x404596,n,Size
0x40459a,n,Src
0x40459b,n,Dst
0x4045a9,n,this
0x4045ab,n,Trim
0x4045ad,n,N
0x4045b7,n,a2
0x4045b8,n,this
0x4045bf,n,this
0x4045e5,n,destroy
0x4045e7,n,this
0x404613,n,Trim
0x404615,n,N
0x404616,n,this
0x404676,n,other
0x404677,n,this
0x404682,n,pThrowInfo
0x404687,n,pExceptionObject
0x404696,n,src
0x404697,n,this
0x4046a2,n,pThrowInfo
0x4046a7,n,pExceptionObject
0x4046d1,n,other
0x404719,n,this
0x404736,n,Size
0x40473a,n,Src
0x40473b,n,Dst
0x404749,n,this
0x40474b,n,Trim
0x40474d,n,N
0x404757,n,a2
0x404758,n,this
0x40475f,n,this
0x404785,n,destroy
0x404787,n,this
0x4047b3,n,Trim
0x4047b5,n,N
0x4047b6,n,this
0x4047e3,n,a2
0x4047e4,n,this
0x404860,n,this
0x40487b,n,Size
0x404882,n,Src
0x404883,n,Dst
0x404891,n,this
0x404893,n,Trim
0x404895,n,N
0x4048ac,n,this
0x4048c9,n,Size
0x4048cd,n,Src
0x4048ce,n,Dst
0x4048dc,n,this
0x4048de,n,Trim
0x4048e0,n,N
0x4048ee,n,a2
0x4048ef,n,this
0x404936,n,ptr
0x404976,n,this
0x40499e,n,destroy
0x4049a2,n,this
0x4049b6,n,destroy
0x4049b8,n,this
0x4049d4,n,destroy
0x4049d6,n,this
0x4049dd,n,a2
0x4049de,n,this
0x404abc,n,ptr
0x404b0d,n,a2
0x404b10,n,this
0x404b29,n,ptr
0x404b32,n,a2
0x404b33,n,this
0x404b51,n,a2
0x404b52,n,this
0x404bcb,n,allocation_size
0x404be8,n,allocation_size
0x404c47,n,ptr
0x404cfe,n,destroy
0x404d02,n,this
0x404d14,n,destroy
0x404d16,n,this
0x404d30,n,destroy
0x404d32,n,this
0x404d39,n,a2
0x404d3a,n,this
0x404d84,n,void (__cdecl *)()
0x40517b,n,a13
0x40517c,n,a13
0x40517d,n,a13
0x40517e,n,winType
0x405180,n,winHeight
0x405185,n,winWidth
0x40518c,n,winY
0x40518e,n,winX
0x4051bd,n,allocation_size
0x4051dc,n,ptr
0x4051fe,n,allocation_size
0x405213,n,style
0x40521d,n,id
0x405222,n,h
0x405227,n,w
0x40522c,n,y
0x40522d,n,x
0x40522e,n,this
0x40523b,n,this
0x405249,n,whichPlayer
0x40524a,n,this
0x405257,n,a4
0x405258,n,count
0x40525a,n,pos
0x40525b,n,this
0x405265,n,allocation_size
0x40527a,n,style
0x40527c,n,hotkey
0x40527d,n,end
0x40527e,n,selected
0x405280,n,normal
0x405286,n,id
0x405288,n,h
0x40528a,n,w
0x40528c,n,y
0x40528e,n,x
0x405290,n,this
0x4052a0,n,this
0x4052a3,n,a2
0x4052a9,n,a5
0x4052aa,n,a4
0x4052ac,n,key
0x4052bf,n,a4
0x4052c0,n,count
0x4052c2,n,pos
0x4052c3,n,this
0x4052cd,n,allocation_size
0x4052e2,n,style
0x4052e4,n,hotkey
0x4052e5,n,end
0x4052e6,n,selected
0x4052e8,n,normal
0x4052ee,n,id
0x4052f0,n,h
0x4052f2,n,w
0x4052f4,n,y
0x4052f6,n,x
0x4052f8,n,this
0x405308,n,this
0x40530b,n,a2
0x405311,n,a5
0x405312,n,a4
0x405314,n,key
0x405327,n,a4
0x405328,n,count
0x40532a,n,pos
0x40532b,n,this
0x405335,n,allocation_size
0x40534a,n,style
0x40534c,n,hotkey
0x40534d,n,end
0x40534e,n,selected
0x405350,n,normal
0x405356,n,id
0x405358,n,h
0x40535a,n,w
0x40535c,n,y
0x405361,n,x
0x405363,n,this
0x405373,n,this
0x405376,n,a2
0x40537c,n,a5
0x40537d,n,a4
0x40537f,n,key
0x405392,n,a4
0x405393,n,count
0x405395,n,pos
0x405396,n,this
0x4053a0,n,allocation_size
0x4053b5,n,style
0x4053b7,n,hotkey
0x4053b8,n,end
0x4053b9,n,selected
0x4053bb,n,normal
0x4053c1,n,id
0x4053c3,n,h
0x4053c5,n,w
0x4053c7,n,y
0x4053cc,n,x
0x4053ce,n,this
0x4053de,n,this
0x4053e1,n,a2
0x4053e7,n,a5
0x4053e8,n,a4
0x4053ea,n,key
0x4053fd,n,a4
0x4053fe,n,count
0x405400,n,pos
0x405401,n,this
0x40540b,n,allocation_size
0x405420,n,style
0x405422,n,hotkey
0x405423,n,end
0x405424,n,selected
0x405426,n,normal
0x40542c,n,id
