# NH3API v2.1 IDB functions; hd_va is the HD pressing; retail_rva only where the hdmap
# masked-identity bridge lands (crossbuild-verified correspondence, name still external).
hd_va,name,readable,prototype,retail_rva
0x40ebe0,?Reseed@advManager@@QAAXHH@Z,advManager_Reseed,"void (__thiscall ?Reseed@advManager@@QAAXHH@Z)(advManager* this, int targetX, int targetY)",
0x40ebf0,?ProcessSearch@advManager@@QAAHHHH@Z,advManager_ProcessSearch,"int (__thiscall ?ProcessSearch@advManager@@QAAHHHH@Z)(advManager* this, int x, int y, int z)",
0x40f1a0,dynamic_initializer_USMsg_40F1A0,,,
0x40f1d0,?UpdateScreen@advManager@@QAAXHH@Z,advManager_UpdateScreen,"void (__thiscall ?UpdateScreen@advManager@@QAAXHH@Z)(advManager* this, int bAllowIntermediateMouse, int bForceDraw)",0xf270
0x40f250,?DrawAdventureMapGems@advManager@@QAAXXZ,advManager_DrawAdventureMapGems,void (__thiscall ?DrawAdventureMapGems@advManager@@QAAXXZ)(advManager* this),
0x40f350,?CompleteDraw@advManager@@QAAXHHH_N0@Z,advManager_CompleteDraw,"void (__thiscall ?CompleteDraw@advManager@@QAAXHHH_N0@Z)(advManager* this, int startX, int startY, int z, bool bForceDraw, bool bUpdateBottomView)",
0x40f7d0,?CompleteDraw@advManager@@QAAX_N@Z,advManager_CompleteDraw,"void (__thiscall ?CompleteDraw@advManager@@QAAX_N@Z)(advManager* this, bool bForceDraw)",
0x40f820,?GetCloudLookup@advManager@@QAAHHHH@Z,advManager_GetCloudLookup,"int (__thiscall ?GetCloudLookup@advManager@@QAAHHHH@Z)(advManager* this, int srcX, int scrY, int Z)",0xf8c0
0x40fa90,?ScanForHeroOrBoat@advManager@@QAA_NHHHGAAY05UTDrawParts@@@Z,advManager_ScanForHeroOrBoat,"bool (__thiscall ?ScanForHeroOrBoat@advManager@@QAA_NHHHGAAY05UTDrawParts@@@Z)(advManager* this, int srcX, int srcY, int z, unsigned int16 type, TDrawParts[6]* parts)",
0x40fc00,?hasFlag@@YA_NH@Z,hasFlag,bool (__fastcall ?hasFlag@@YA_NH@Z)(TAdventureObjectType objType),0xfca0
