# every name in the IDB (HD-pressing addresses).
hd_va,kind,name,readable
0x41a300,mangled,?EnableButtons@advManager@@QAAXXZ,advManager_EnableButtons
0x41a3c0,mangled,?FindAdjacentMonster@advManager@@QAA_NUtype_point@@AAU2@0@Z,advManager_FindAdjacentMonster
0x41a5c0,mangled,?ComputeAdvNetControl@@YAXXZ,ComputeAdvNetControl
0x41a6b0,mangled,?MapExtraPosAndAdjacentsSet@@YAHHHHE@Z,MapExtraPosAndAdjacentsSet
0x41a750,mangled,?ViewPuzzle@advManager@@QAEXH@Z,advManager_ViewPuzzle
0x41aa60,mangled,?DoAdventureOptions@advManager@@QAAXXZ,advManager_DoAdventureOptions
0x41ab20,user,def_41AADC,
0x41ab44,user,jpt_41AADC,
0x41ab60,mangled,?DoSystemOptions@advManager@@QAA_NXZ,advManager_DoSystemOptions
0x41ac48,user,def_41ABED,
0x41acf0,user,jpt_41ABED,
0x41ad10,mangled,?MoreTreesNear@advManager@@QAAHUtype_point@@@Z,advManager_MoreTreesNear
0x41aea0,user,def_41AE8C,
0x41af30,user,jpt_41AE8C,
0x41af70,mangled,?GetRouteArrayPtr@advManager@@QAAPAGHHH@Z,advManager_GetRouteArrayPtr
0x41afa0,mangled,??0CAdvPopup@@QAA@HHHHI@Z,CAdvPopup_ctor
0x41b040,mangled,??_GCAdvPopup@@UAAPAXI@Z,op_GCAdvPopup
0x41b070,mangled,??1CHeroWindowEx@@UAA@XZ,CHeroWindowEx_dtor
0x41b080,mangled,??1CAdvPopup@@UAA@XZ,CAdvPopup_dtor
0x41b0f0,mangled,?ExitDialog@CAdvPopup@@MAAHAAUmessage@@@Z,CAdvPopup_ExitDialog
0x41b120,mangled,?WindowHandler@CAdvPopup@@UAAHAAUmessage@@@Z,CAdvPopup_WindowHandler
0x41b1b0,mangled,??Y?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAAAAV01@ABV01@@Z,std_D_DU_char_traits_op_Y_basic_string
0x41b2a0,user,std::string::append,
0x41b370,user,throw_invalid_bitset_position,
0x41b440,user,vector_insert_41B440,
0x41b690,user,init_bitset_41B690,
0x41bdb0,mangled,?what@logic_error@std@@UBEPBDXZ,std_logic_error_what
0x41bdc0,mangled,?_Doraise@runtime_error@std@@MBEXXZ,std_runtime_error_Doraise
0x41c080,user,init_bitset_41C080,
0x41c0a0,user,init_bitset_41C0A0,
0x41c100,user,init_bitset_41C100,
0x41c160,user,init_bitset_41C160,
0x41c470,mangled,?CheckCastSpell@advManager@@QAAXXZ,advManager_CheckCastSpell
0x41c610,mangled,?CastSpell@advManager@@QAAXW4SpellID@@@Z,advManager_CastSpell
0x41c673,user,SummonBoat_0041C673,
0x41c684,user,SunkBoat_0041C684,
0x41c695,user,Vision_0041C695,
0x41c74a,user,VeiwEarth_0041C74A,
0x41c787,user,Disguise_0041C787,
0x41c7fb,user,ViewAir_0041C7FB,
0x41c838,user,Fly_0041C838,
0x41c916,user,WaterWalk_0041C916,
0x41c9c8,user,DimensionDoor_0041C9C8,
0x41c9d9,user,TownPortal_0041C9D9,
0x41c9e1,user,def_41C66C,
0x41c9ec,user,jpt_41C66C,
0x41ca20,mangled,?SummonBoat@advManager@@QAAXW4TSkillMastery@@@Z,advManager_SummonBoat
0x41cf70,mangled,?SkuttleBoat@advManager@@QAAXW4TSkillMastery@@@Z,advManager_SkuttleBoat
0x41d210,mangled,?DimensionDoor@advManager@@QAAXW4TSkillMastery@@@Z,advManager_DimensionDoor
0x41d4e0,mangled,?TownGate@advManager@@QAAXW4TSkillMastery@@@Z,advManager_TownGate
0x41dab0,mangled,?TeleportTo@advManager@@QAAXPAVhero@@Utype_point@@PBD_N33@Z,advManager_TeleportTo
0x41df20,user,init_41DF20,
0x41df40,user,init_bitset_41DF40,
0x41dfa0,user,init_bitset_41DFA0,
0x41e000,user,init_bitset_41E000,
0x41e070,user,init_bitset_41E070,
0x41e0d0,user,init_bitset_41E0D0,
0x41e130,user,init_bitset_41E130,
0x41e190,user,init_bitset_41E190,
0x41e1f0,user,init_bitset_41E1F0,
0x41e250,user,init_bitset_41E250,
0x41e2b0,user,init_bitset_41E2B0,
0x41e310,mangled,?ChooseBallistaTarget@combatManager@@QAAHHHH@Z,combatManager_ChooseBallistaTarget
0x41e5c0,mangled,?failed_siege@combatManager@@QAA_NXZ,combatManager_failed_siege
0x41e6f0,mangled,?AICheckRetreat@combatManager@@QAA_NXZ,combatManager_AICheckRetreat
0x41ec40,mangled,?get_total_combat_value@combatManager@@QBAJJJJ_N@Z,combatManager_get_total_combat_value
0x41ed00,mangled,?choose_shooter_target@combatManager@@ABAJPBVarmy@@AAVtype_AI_combat_parameters@@AAJ@Z,combatManager_choose_shooter_target
0x41ef20,user,get_area_attack_value,
0x41f020,mangled,?choose_cyclops_action@combatManager@@QAA_NJJAAVtype_AI_combat_parameters@@@Z,combatManager_choose_cyclops_action
0x41f1e0,mangled,?choose_shooter_action@combatManager@@AAAXPBVarmy@@_NJ@Z,combatManager_choose_shooter_action
0x41f2c0,mangled,?find_move_order@combatManager@@QAAXPAV?$vector@PAVarmy@@V?$allocator@PAVarmy@@@std@@@std@@@Z,combatManager_find_move_order
0x41f500,user,army::cannot_move,
0x41f530,mangled,?get_attack_change@combatManager@@AAAJPBVarmy@@0AAVtype_AI_combat_parameters@@@Z,combatManager_get_attack_change
0x41f700,mangled,?move_toward@combatManager@@AAA_NPBVarmy@@JPBJ_N@Z,combatManager_move_toward
0x41fa10,mangled,?can_cast_spells@combatManager@@QBA_NJ_N@Z,combatManager_can_cast_spells
0x41faa0,mangled,?get_area_effect@combatManager@@ABAJJPBVarmy@@JABVtype_AI_combat_parameters@@@Z,combatManager_get_area_effect
0x41fce0,mangled,?mark_friendly_armies@combatManager@@ABAXPBVarmy@@PAJJABVtype_AI_combat_parameters@@@Z,combatManager_mark_friendly_armies
0x41fee0,mangled,?mark_multiheaded_enemy@combatManager@@ABAXPBVarmy@@0PAJJPAVsearchArray@@ABVtype_AI_combat_parameters@@@Z,combatManager_mark_multiheaded_enemy
0x4201e0,user,army_004201E0,
0x4203e0,mangled,?mark_enemy_attacks@combatManager@@ABAXPBVarmy@@PAJAAJABVtype_AI_combat_parameters@@@Z,combatManager_mark_enemy_attacks
