# MANUALLY MANAGED - reviewed rows; hand-owned after admission.
# Every verified function span in the pinned PEF code section; names
# come from source MAC_ADDRESS claims, the runtime maps and glue map.
# exe: Heroes PEF sha256=650be8880cfda81ffa7704ce3bcdb9c5a6528f67afdf77c0c0c63e8259250d86 size=3418835
# Offsets are relative to PEF code section 0; lowercase 0x hex.
offset	size
0x68d80	0x14
0x68d94	0x4
0x68d98	0x8
0x68da0	0x4
0x68da4	0x64
0x68e08	0x64
0x68e6c	0x64
0x68ed0	0x70
0x68f40	0x38
0x68f78	0x50
0x69074	0x8c
0x69284	0x58
0x692dc	0xa8
0x694f0	0x14
0x69504	0x70
0x69574	0x1c0
0x69734	0x424
0x69b58	0x74
0x69bcc	0x1c0
0x69d8c	0x60
0x69dec	0x190
0x69f7c	0xb58
0x6aad4	0x8
0x6aadc	0x8
0x6aae4	0x8
0x6aaec	0x8
0x6aaf4	0xc8
0x6abbc	0x18c
0x6ad48	0x58
0x6ada0	0x318
0x6b0b8	0x29c
0x6b354	0x29c
0x6b5f0	0x20c
0x6b7fc	0x64
0x6b860	0x64
0x6b8c4	0x64
0x6b928	0x3c
0x6b964	0x74
0x6b9d8	0x74
0x6ba4c	0x94
0x6bae0	0x1b4
0x6bd4c	0x3e4
0x6c680	0x64
0x6c6e4	0x64
0x6c748	0x70
0x6c7b8	0x38
0x6c7f0	0x1c0
0x6c9b0	0x70
0x6ca20	0x108
0x6cb28	0xa14
0x6d53c	0x74c
0x6dc88	0x1c0
0x6de48	0x150
0x6df98	0x94
0x6e02c	0x10
0x6e03c	0x5c
0x6e098	0x8
0x6e0a0	0x64
0x6e104	0x38
0x6e13c	0x4
0x6e140	0xe0
0x6e220	0x5c4
0x6e7e4	0x154
0x6e938	0x1d0
0x6eb08	0x164
0x6ec6c	0x420
0x6f08c	0x2c
0x6f0b8	0x330
0x6f3e8	0x484
0x6f86c	0x6c
0x6f8d8	0x1fc
0x6fad4	0x128
0x6fbfc	0x108
0x6fd04	0x2c4
0x6ffc8	0x110
0x700d8	0x2fc
0x703d4	0x204
0x705d8	0x1d8
0x707b0	0x208
0x709b8	0x1bc
0x70b74	0x328
0x70e9c	0x508
0x713a4	0x170
0x71514	0x264
0x71778	0xac
0x71824	0x164
0x71988	0x408
0x71d90	0xc0
0x71e50	0xd8
0x71f28	0x88
0x71fb0	0x294
0x72244	0x10
0x72254	0x64
0x722b8	0x818
0x72ad0	0x1d0
0x72ca0	0xb8
0x72d58	0x130
0x72e88	0x234
0x730bc	0x26c
0x73328	0xa8
0x733d0	0xdc
0x734ac	0xd0
0x7357c	0x94
0x73610	0x34
0x73644	0x38
0x7367c	0xfc
0x73778	0x114
0x7388c	0x134
0x739c0	0x284
0x73c44	0x488
0x740cc	0x588
0x74654	0x5c4
